"Kyn";"Ár";"Landsvæði";"Alls Aðfluttir umfram brottflutta";"Alls Aðfluttir";"Alls Brottfluttir";"Íslenskir ríkisborgarar Aðfluttir umfram brottflutta";"Íslenskir ríkisborgarar Aðfluttir";"Íslenskir ríkisborgarar Brottfluttir";"Erlendir ríkisborgarar Aðfluttir umfram brottflutta";"Erlendir ríkisborgarar Aðfluttir";"Erlendir ríkisborgarar Brottfluttir"
"Karlar";"2003";"Suðurland";-30;96;126;-21;56;77;-9;40;49
"Karlar";"2003";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Karlar";"2004";"Alls";536;3011;2475;-148;1455;1603;684;1556;872
"Karlar";"2004";"Höfuðborgarsvæði";-64;1517;1581;-97;1064;1161;33;453;420
"Karlar";"2004";"Suðurnes";2;125;123;-24;74;98;26;51;25
"Karlar";"2004";"Vesturland";12;88;76;-2;50;52;14;38;24
"Karlar";"2004";"Vestfirðir";14;51;37;0;22;22;14;29;15
"Karlar";"2004";"Norðurland vestra";-13;38;51;-7;22;29;-6;16;22
"Karlar";"2004";"Norðuland eystra";2;161;159;-10;109;119;12;52;40
"Karlar";"2004";"Austurland";554;860;306;1;29;28;553;831;278
"Karlar";"2004";"Suðurland";29;171;142;-9;85;94;38;86;48
"Karlar";"2004";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Karlar";"2005";"Alls";2787;4782;1995;126;1574;1448;2661;3208;547
"Karlar";"2005";"Höfuðborgarsvæði";911;2198;1287;114;1166;1052;797;1032;235
"Karlar";"2005";"Suðurnes";106;206;100;8;100;92;98;106;8
"Karlar";"2005";"Vesturland";196;255;59;6;47;41;190;208;18
"Karlar";"2005";"Vestfirðir";75;100;25;11;28;17;64;72;8
"Karlar";"2005";"Norðurland vestra";33;55;22;7;25;18;26;30;4
"Karlar";"2005";"Norðuland eystra";36;193;157;-28;98;126;64;95;31
"Karlar";"2005";"Austurland";1291;1546;255;-2;33;35;1293;1513;220
"Karlar";"2005";"Suðurland";139;229;90;10;77;67;129;152;23
"Karlar";"2005";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Karlar";"2006";"Alls";4069;6541;2472;-117;1405;1522;4186;5136;950
"Karlar";"2006";"Höfuðborgarsvæði";1785;3220;1435;-16;1058;1074;1801;2162;361
"Karlar";"2006";"Suðurnes";373;486;113;-13;76;89;386;410;24
"Karlar";"2006";"Vesturland";131;243;112;-24;47;71;155;196;41
"Karlar";"2006";"Vestfirðir";74;102;28;-2;15;17;76;87;11
"Karlar";"2006";"Norðurland vestra";-10;34;44;-24;11;35;14;23;9
"Karlar";"2006";"Norðuland eystra";96;243;147;-25;84;109;121;159;38
"Karlar";"2006";"Austurland";1402;1858;456;1;49;48;1401;1809;408
"Karlar";"2006";"Suðurland";218;355;137;-14;65;79;232;290;58
"Karlar";"2006";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Karlar";"2007";"Alls";2953;7915;4962;-36;1651;1687;2989;6264;3275
"Karlar";"2007";"Höfuðborgarsvæði";3129;4880;1751;-10;1182;1192;3139;3698;559
"Karlar";"2007";"Suðurnes";391;680;289;-18;105;123;409;575;166
"Karlar";"2007";"Vesturland";268;415;147;-2;72;74;270;343;73
"Karlar";"2007";"Vestfirðir";65;116;51;-17;10;27;82;106;24
"Karlar";"2007";"Norðurland vestra";46;72;26;-2;21;23;48;51;3
"Karlar";"2007";"Norðuland eystra";206;366;160;8;110;102;198;256;58
"Karlar";"2007";"Austurland";-1423;970;2393;-10;47;57;-1413;923;2336
"Karlar";"2007";"Suðurland";271;416;145;15;104;89;256;312;56
"Karlar";"2007";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Karlar";"2008";"Alls";-277;5959;6236;-248;1419;1667;-29;4540;4569
"Karlar";"2008";"Höfuðborgarsvæði";492;3867;3375;-215;986;1201;707;2881;2174
"Karlar";"2008";"Suðurnes";-49;496;545;12;121;109;-61;375;436
"Karlar";"2008";"Vesturland";-7;264;271;-19;46;65;12;218;206
"Karlar";"2008";"Vestfirðir";81;138;57;-5;15;20;86;123;37
"Karlar";"2008";"Norðurland vestra";34;69;35;13;23;10;21;46;25
"Karlar";"2008";"Norðuland eystra";56;289;233;-9;105;114;65;184;119
"Karlar";"2008";"Austurland";-1010;498;1508;-7;43;50;-1003;455;1458
"Karlar";"2008";"Suðurland";126;338;212;-18;80;98;144;258;114
"Karlar";"2008";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Karlar";"2009";"Alls";-3689;2982;6671;-1415;1221;2636;-2274;1761;4035
"Karlar";"2009";"Höfuðborgarsvæði";-2402;2024;4426;-1009;867;1876;-1393;1157;2550
"Karlar";"2009";"Suðurnes";-166;248;414;-99;84;183;-67;164;231
"Karlar";"2009";"Vesturland";-215;107;322;-59;38;97;-156;69;225
"Karlar";"2009";"Vestfirðir";-40;73;113;-37;18;55;-3;55;58
"Karlar";"2009";"Norðurland vestra";-13;38;51;-11;15;26;-2;23;25
"Karlar";"2009";"Norðuland eystra";-207;181;388;-78;83;161;-129;98;227
"Karlar";"2009";"Austurland";-385;114;499;-16;44;60;-369;70;439
"Karlar";"2009";"Suðurland";-261;197;458;-106;72;178;-155;125;280
"Karlar";"2009";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Karlar";"2010";"Alls";-1428;2965;4393;-844;1428;2272;-584;1537;2121
"Karlar";"2010";"Höfuðborgarsvæði";-823;2064;2887;-588;995;1583;-235;1069;1304
"Karlar";"2010";"Suðurnes";-257;191;448;-99;95;194;-158;96;254
"Karlar";"2010";"Vesturland";-26;113;139;-26;59;85;0;54;54
"Karlar";"2010";"Vestfirðir";-84;57;141;-18;18;36;-66;39;105
"Karlar";"2010";"Norðurland vestra";-12;36;48;-10;14;24;-2;22;24
"Karlar";"2010";"Norðuland eystra";-65;196;261;-48;103;151;-17;93;110
"Karlar";"2010";"Austurland";-89;104;193;-17;44;61;-72;60;132
"Karlar";"2010";"Suðurland";-72;204;276;-38;100;138;-34;104;138
"Karlar";"2010";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Karlar";"2011";"Alls";-986;2842;3828;-691;1465;2156;-295;1377;1672
"Karlar";"2011";"Höfuðborgarsvæði";-742;1941;2683;-476;1063;1539;-266;878;1144
"Karlar";"2011";"Suðurnes";-144;185;329;-73;91;164;-71;94;165
"Karlar";"2011";"Vesturland";2;118;116;2;56;54;0;62;62
"Karlar";"2011";"Vestfirðir";3;73;70;-14;17;31;17;56;39
"Karlar";"2011";"Norðurland vestra";-15;41;56;-10;22;32;-5;19;24
"Karlar";"2011";"Norðuland eystra";-51;159;210;-44;93;137;-7;66;73
"Karlar";"2011";"Austurland";13;112;99;-15;37;52;28;75;47
"Karlar";"2011";"Suðurland";-52;213;265;-61;86;147;9;127;118
"Karlar";"2011";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Karlar";"2012";"Alls";-300;3047;3347;-506;1609;2115;206;1438;1232
"Karlar";"2012";"Höfuðborgarsvæði";-204;2128;2332;-323;1179;1502;119;949;830
"Karlar";"2012";"Suðurnes";-52;196;248;-55;101;156;3;95;92
"Karlar";"2012";"Vesturland";7;129;122;-25;63;88;32;66;34
"Karlar";"2012";"Vestfirðir";2;54;52;-8;15;23;10;39;29
"Karlar";"2012";"Norðurland vestra";-27;40;67;-10;20;30;-17;20;37
"Karlar";"2012";"Norðuland eystra";10;169;159;-23;98;121;33;71;38
"Karlar";"2012";"Austurland";-11;97;108;-16;34;50;5;63;58
"Karlar";"2012";"Suðurland";-25;234;259;-46;99;145;21;135;114
"Karlar";"2012";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Karlar";"2013";"Alls";819;3689;2870;-41;1623;1664;860;2066;1206
"Karlar";"2013";"Höfuðborgarsvæði";557;2549;1992;15;1211;1196;542;1338;796
"Karlar";"2013";"Suðurnes";100;281;181;20;121;101;80;160;80
"Karlar";"2013";"Vesturland";26;130;104;-1;53;54;27;77;50
"Karlar";"2013";"Vestfirðir";8;82;74;-3;23;26;11;59;48
"Karlar";"2013";"Norðurland vestra";-1;44;45;-6;16;22;5;28;23
"Karlar";"2013";"Norðuland eystra";-7;184;191;-55;78;133;48;106;58
"Karlar";"2013";"Austurland";46;141;95;2;33;31;44;108;64
"Karlar";"2013";"Suðurland";90;278;188;-13;88;101;103;190;87
"Karlar";"2013";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Karlar";"2014";"Alls";700;3815;3115;-344;1406;1750;1044;2409;1365
"Karlar";"2014";"Höfuðborgarsvæði";334;2509;2175;-223;1015;1238;557;1494;937
"Karlar";"2014";"Suðurnes";82;277;195;-33;93;126;115;184;69
"Karlar";"2014";"Vesturland";35;144;109;-11;50;61;46;94;48
"Karlar";"2014";"Vestfirðir";50;99;49;2;21;19;48;78;30
"Karlar";"2014";"Norðurland vestra";11;62;51;-7;25;32;18;37;19
"Karlar";"2014";"Norðuland eystra";31;225;194;-41;86;127;72;139;67
"Karlar";"2014";"Austurland";43;153;110;-22;25;47;65;128;63
"Karlar";"2014";"Suðurland";114;346;232;-9;91;100;123;255;132
"Karlar";"2014";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"1986";"Alls";-102;1435;1537;-205;1026;1231;103;409;306
"Konur";"1986";"Höfuðborgarsvæði";-11;998;1009;-63;745;808;52;253;201
"Konur";"1986";"Suðurnes";-13;87;100;-24;70;94;11;17;6
"Konur";"1986";"Vesturland";-41;34;75;-35;29;64;-6;5;11
"Konur";"1986";"Vestfirðir";-6;51;57;-20;17;37;14;34;20
"Konur";"1986";"Norðurland vestra";-15;18;33;-15;17;32;0;1;1
"Konur";"1986";"Norðuland eystra";-23;90;113;-31;68;99;8;22;14
"Konur";"1986";"Austurland";1;68;67;-8;25;33;9;43;34
"Konur";"1986";"Suðurland";6;89;83;-9;55;64;15;34;19
"Konur";"1986";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"1987";"Alls";648;1904;1256;347;1298;951;301;606;305
"Konur";"1987";"Höfuðborgarsvæði";432;1284;852;244;903;659;188;381;193
"Konur";"1987";"Suðurnes";54;126;72;30;89;59;24;37;13
"Konur";"1987";"Vesturland";33;79;46;18;59;41;15;20;5
"Konur";"1987";"Vestfirðir";7;56;49;4;25;21;3;31;28
"Konur";"1987";"Norðurland vestra";26;37;11;15;23;8;11;14;3
"Konur";"1987";"Norðuland eystra";26;119;93;16;87;71;10;32;22
"Konur";"1987";"Austurland";28;82;54;1;40;39;27;42;15
"Konur";"1987";"Suðurland";43;121;78;19;72;53;24;49;25
"Konur";"1987";"Ótilgreint";-1;-;1;-;-;-;-1;-;1
"Konur";"1988";"Alls";769;2248;1479;264;1224;960;505;1024;519
"Konur";"1988";"Höfuðborgarsvæði";405;1400;995;165;839;674;240;561;321
"Konur";"1988";"Suðurnes";81;176;95;39;102;63;42;74;32
"Konur";"1988";"Vesturland";17;71;54;-13;32;45;30;39;9
"Konur";"1988";"Vestfirðir";77;154;77;-8;23;31;85;131;46
"Konur";"1988";"Norðurland vestra";19;40;21;13;29;16;6;11;5
"Konur";"1988";"Norðuland eystra";27;133;106;12;91;79;15;42;27
"Konur";"1988";"Austurland";67;121;54;26;43;17;41;78;37
"Konur";"1988";"Suðurland";63;140;77;17;52;35;46;88;42
"Konur";"1988";"Ótilgreint";13;13;-;13;13;-;-;-;-
"Konur";"1989";"Alls";-497;1547;2044;-541;933;1474;44;614;570
"Konur";"1989";"Höfuðborgarsvæði";-310;1039;1349;-363;667;1030;53;372;319
"Konur";"1989";"Suðurnes";-45;90;135;-40;70;110;-5;20;25
"Konur";"1989";"Vesturland";-30;61;91;-30;33;63;0;28;28
"Konur";"1989";"Vestfirðir";-49;59;108;-22;24;46;-27;35;62
"Konur";"1989";"Norðurland vestra";-3;32;35;-11;17;28;8;15;7
"Konur";"1989";"Norðuland eystra";-31;82;113;-34;48;82;3;34;31
"Konur";"1989";"Austurland";-11;73;84;-13;29;42;2;44;42
"Konur";"1989";"Suðurland";-5;111;116;-19;45;64;14;66;52
"Konur";"1989";"Ótilgreint";-13;-;13;-9;-;9;-4;-;4
"Konur";"1990";"Alls";-275;1673;1948;-295;1062;1357;20;611;591
"Konur";"1990";"Höfuðborgarsvæði";-248;1111;1359;-160;790;950;-88;321;409
"Konur";"1990";"Suðurnes";-17;82;99;-27;47;74;10;35;25
"Konur";"1990";"Vesturland";-13;69;82;-29;31;60;16;38;22
"Konur";"1990";"Vestfirðir";-3;90;93;-29;14;43;26;76;50
"Konur";"1990";"Norðurland vestra";2;39;37;-11;21;32;13;18;5
"Konur";"1990";"Norðuland eystra";-23;95;118;-36;63;99;13;32;19
"Konur";"1990";"Austurland";17;74;57;-3;38;41;20;36;16
"Konur";"1990";"Suðurland";10;113;103;0;58;58;10;55;45
"Konur";"1990";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"1991";"Alls";567;2157;1590;136;1141;1005;431;1016;585
"Konur";"1991";"Höfuðborgarsvæði";314;1337;1023;142;849;707;172;488;316
"Konur";"1991";"Suðurnes";28;135;107;-20;64;84;48;71;23
"Konur";"1991";"Vesturland";50;96;46;1;29;28;49;67;18
"Konur";"1991";"Vestfirðir";56;135;79;-4;20;24;60;115;55
"Konur";"1991";"Norðurland vestra";30;45;15;25;32;7;5;13;8
"Konur";"1991";"Norðuland eystra";40;139;99;4;78;74;36;61;25
"Konur";"1991";"Austurland";38;118;80;5;30;25;33;88;55
"Konur";"1991";"Suðurland";16;152;136;-12;39;51;28;113;85
"Konur";"1991";"Ótilgreint";-5;-;5;-5;-;5;-;-;-
"Konur";"1992";"Alls";-113;1591;1704;41;981;940;-154;610;764
"Konur";"1992";"Höfuðborgarsvæði";33;1027;994;41;692;651;-8;335;343
"Konur";"1992";"Suðurnes";-4;90;94;6;69;63;-10;21;31
"Konur";"1992";"Vesturland";0;81;81;22;43;21;-22;38;60
"Konur";"1992";"Vestfirðir";-47;57;104;2;14;12;-49;43;92
"Konur";"1992";"Norðurland vestra";-9;27;36;-3;13;16;-6;14;20
"Konur";"1992";"Norðuland eystra";21;137;116;9;83;74;12;54;42
"Konur";"1992";"Austurland";-55;67;122;-1;29;30;-54;38;92
"Konur";"1992";"Suðurland";-52;105;157;-35;38;73;-17;67;84
"Konur";"1992";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"1993";"Alls";-86;1450;1536;-148;865;1013;62;585;523
"Konur";"1993";"Höfuðborgarsvæði";-16;984;1000;-96;625;721;80;359;279
"Konur";"1993";"Suðurnes";-32;53;85;-28;33;61;-4;20;24
"Konur";"1993";"Vesturland";3;49;46;-1;26;27;4;23;19
"Konur";"1993";"Vestfirðir";-23;61;84;4;35;31;-27;26;53
"Konur";"1993";"Norðurland vestra";-2;34;36;-12;10;22;10;24;14
"Konur";"1993";"Norðuland eystra";-29;93;122;-17;63;80;-12;30;42
"Konur";"1993";"Austurland";2;63;61;2;25;23;0;38;38
"Konur";"1993";"Suðurland";11;113;102;0;48;48;11;65;54
"Konur";"1993";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"1994";"Alls";-344;1452;1796;-395;903;1298;51;549;498
"Konur";"1994";"Höfuðborgarsvæði";-184;977;1161;-182;689;871;-2;288;290
"Konur";"1994";"Suðurnes";-42;70;112;-46;47;93;4;23;19
"Konur";"1994";"Vesturland";-13;69;82;-32;25;57;19;44;25
"Konur";"1994";"Vestfirðir";-4;55;59;-12;18;30;8;37;29
"Konur";"1994";"Norðurland vestra";-19;20;39;-15;8;23;-4;12;16
"Konur";"1994";"Norðuland eystra";-20;110;130;-45;60;105;25;50;25
"Konur";"1994";"Austurland";-45;48;93;-34;23;57;-11;25;36
"Konur";"1994";"Suðurland";-17;103;120;-29;33;62;12;70;58
"Konur";"1994";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"1995";"Alls";-566;1538;2104;-732;936;1668;166;602;436
"Konur";"1995";"Höfuðborgarsvæði";-430;988;1418;-507;670;1177;77;318;241
"Konur";"1995";"Suðurnes";-30;85;115;-34;60;94;4;25;21
"Konur";"1995";"Vesturland";13;79;66;-12;27;39;25;52;27
"Konur";"1995";"Vestfirðir";-10;65;75;-32;17;49;22;48;26
"Konur";"1995";"Norðurland vestra";-7;34;41;-18;11;29;11;23;12
"Konur";"1995";"Norðuland eystra";-56;117;173;-74;77;151;18;40;22
"Konur";"1995";"Austurland";-11;62;73;-27;19;46;16;43;27
"Konur";"1995";"Suðurland";-35;108;143;-28;55;83;-7;53;60
"Konur";"1995";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"1996";"Alls";-187;1885;2072;-508;1156;1664;321;729;408
"Konur";"1996";"Höfuðborgarsvæði";-239;1212;1451;-383;861;1244;144;351;207
"Konur";"1996";"Suðurnes";-24;84;108;-37;54;91;13;30;17
"Konur";"1996";"Vesturland";-11;90;101;-8;43;51;-3;47;50
"Konur";"1996";"Vestfirðir";76;131;55;-6;24;30;82;107;25
"Konur";"1996";"Norðurland vestra";16;52;36;-11;17;28;27;35;8
"Konur";"1996";"Norðuland eystra";18;136;118;-20;76;96;38;60;22
"Konur";"1996";"Austurland";-2;61;63;-10;28;38;8;33;25
"Konur";"1996";"Suðurland";-21;119;140;-33;53;86;12;66;54
"Konur";"1996";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"1997";"Alls";82;2039;1957;-271;1248;1519;353;791;438
"Konur";"1997";"Höfuðborgarsvæði";30;1315;1285;-135;925;1060;165;390;225
"Konur";"1997";"Suðurnes";-33;103;136;-36;78;114;3;25;22
"Konur";"1997";"Vesturland";25;99;74;-7;34;41;32;65;33
"Konur";"1997";"Vestfirðir";55;113;58;-19;26;45;74;87;13
"Konur";"1997";"Norðurland vestra";8;56;48;5;24;19;3;32;29
"Konur";"1997";"Norðuland eystra";-42;124;166;-39;83;122;-3;41;44
"Konur";"1997";"Austurland";26;93;67;-25;29;54;51;64;13
"Konur";"1997";"Suðurland";13;136;123;-15;49;64;28;87;59
"Konur";"1997";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"1998";"Alls";465;2331;1866;-104;1354;1458;569;977;408
"Konur";"1998";"Höfuðborgarsvæði";202;1465;1263;-34;1015;1049;236;450;214
"Konur";"1998";"Suðurnes";40;132;92;-3;77;80;43;55;12
"Konur";"1998";"Vesturland";26;121;95;-1;53;54;27;68;41
"Konur";"1998";"Vestfirðir";133;174;41;3;25;22;130;149;19
"Konur";"1998";"Norðurland vestra";12;61;49;0;25;25;12;36;24
"Konur";"1998";"Norðuland eystra";24;153;129;-29;78;107;53;75;22
"Konur";"1998";"Austurland";-5;65;70;-19;25;44;14;40;26
"Konur";"1998";"Suðurland";33;160;127;-21;56;77;54;104;50
"Konur";"1998";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"1999";"Alls";619;2468;1849;106;1435;1329;513;1033;520
"Konur";"1999";"Höfuðborgarsvæði";410;1637;1227;86;1058;972;324;579;255
"Konur";"1999";"Suðurnes";43;123;80;7;72;65;36;51;15
"Konur";"1999";"Vesturland";28;125;97;14;64;50;14;61;47
"Konur";"1999";"Vestfirðir";-4;69;73;-13;9;22;9;60;51
"Konur";"1999";"Norðurland vestra";20;57;37;-2;20;22;22;37;15
"Konur";"1999";"Norðuland eystra";27;178;151;-2;104;106;29;74;45
"Konur";"1999";"Austurland";24;88;64;-2;34;36;26;54;28
"Konur";"1999";"Suðurland";71;191;120;18;74;56;53;117;64
"Konur";"1999";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2000";"Alls";877;2615;1738;39;1326;1287;838;1289;451
"Konur";"2000";"Höfuðborgarsvæði";556;1740;1184;45;991;946;511;749;238
"Konur";"2000";"Suðurnes";80;161;81;11;84;73;69;77;8
"Konur";"2000";"Vesturland";45;138;93;-16;48;64;61;90;29
"Konur";"2000";"Vestfirðir";7;58;51;3;23;20;4;35;31
"Konur";"2000";"Norðurland vestra";34;79;45;-5;15;20;39;64;25
"Konur";"2000";"Norðuland eystra";60;168;108;3;85;82;57;83;26
"Konur";"2000";"Austurland";7;59;52;-14;20;34;21;39;18
"Konur";"2000";"Suðurland";88;212;124;12;60;48;76;152;76
"Konur";"2000";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2001";"Alls";479;2567;2088;-234;1245;1479;713;1322;609
"Konur";"2001";"Höfuðborgarsvæði";343;1750;1407;-136;951;1087;479;799;320
"Konur";"2001";"Suðurnes";22;134;112;-39;52;91;61;82;21
"Konur";"2001";"Vesturland";54;132;78;30;66;36;24;66;42
"Konur";"2001";"Vestfirðir";-4;70;74;-21;14;35;17;56;39
"Konur";"2001";"Norðurland vestra";1;55;54;-13;11;24;14;44;30
"Konur";"2001";"Norðuland eystra";1;148;147;-32;72;104;33;76;43
"Konur";"2001";"Austurland";-4;62;66;-18;25;43;14;37;23
"Konur";"2001";"Suðurland";66;216;150;-5;54;59;71;162;91
"Konur";"2001";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2002";"Alls";-20;2173;2193;-498;1148;1646;478;1025;547
"Konur";"2002";"Höfuðborgarsvæði";-81;1439;1520;-380;838;1218;299;601;302
"Konur";"2002";"Suðurnes";9;130;121;-18;81;99;27;49;22
"Konur";"2002";"Vesturland";-10;91;101;-25;43;68;15;48;33
"Konur";"2002";"Vestfirðir";5;52;47;-7;12;19;12;40;28
"Konur";"2002";"Norðurland vestra";10;54;44;-6;18;24;16;36;20
"Konur";"2002";"Norðuland eystra";1;141;140;-25;80;105;26;61;35
"Konur";"2002";"Austurland";9;65;56;-17;27;44;26;38;12
"Konur";"2002";"Suðurland";37;201;164;-20;49;69;57;152;95
"Konur";"2002";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2003";"Alls";-71;1868;1939;-299;1157;1456;228;711;483
"Konur";"2003";"Höfuðborgarsvæði";-104;1266;1370;-250;834;1084;146;432;286
"Konur";"2003";"Suðurnes";22;98;76;2;65;63;20;33;13
"Konur";"2003";"Vesturland";-29;65;94;-32;33;65;3;32;29
"Konur";"2003";"Vestfirðir";3;37;34;-3;13;16;6;24;18
"Konur";"2003";"Norðurland vestra";24;61;37;17;31;14;7;30;23
"Konur";"2003";"Norðuland eystra";11;141;130;-23;82;105;34;59;25
"Konur";"2003";"Austurland";20;67;47;5;38;33;15;29;14
"Konur";"2003";"Suðurland";-18;133;151;-15;61;76;-3;72;75
"Konur";"2003";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2004";"Alls";-6;2339;2345;-290;1383;1673;284;956;672
"Konur";"2004";"Höfuðborgarsvæði";-11;1584;1595;-157;1035;1192;146;549;403
"Konur";"2004";"Suðurnes";-28;118;146;-49;81;130;21;37;16
"Konur";"2004";"Vesturland";-11;78;89;-15;46;61;4;32;28
"Konur";"2004";"Vestfirðir";22;64;42;1;24;23;21;40;19
"Konur";"2004";"Norðurland vestra";-35;35;70;-29;6;35;-6;29;35
"Konur";"2004";"Norðuland eystra";6;147;141;-20;85;105;26;62;36
"Konur";"2004";"Austurland";39;109;70;3;35;32;36;74;38
"Konur";"2004";"Suðurland";12;204;192;-24;71;95;36;133;97
"Konur";"2004";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2005";"Alls";1073;2991;1918;-8;1519;1527;1081;1472;391
"Konur";"2005";"Höfuðborgarsvæði";586;1937;1351;35;1157;1122;551;780;229
"Konur";"2005";"Suðurnes";62;156;94;-14;73;87;76;83;7
"Konur";"2005";"Vesturland";71;136;65;3;55;52;68;81;13
"Konur";"2005";"Vestfirðir";41;84;43;-1;18;19;42;66;24
"Konur";"2005";"Norðurland vestra";26;61;35;-5;19;24;31;42;11
"Konur";"2005";"Norðuland eystra";32;187;155;-28;94;122;60;93;33
"Konur";"2005";"Austurland";170;223;53;5;37;32;165;186;21
"Konur";"2005";"Suðurland";85;207;122;-3;66;69;88;141;53
"Konur";"2005";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2006";"Alls";1186;3291;2105;-163;1357;1520;1349;1934;585
"Konur";"2006";"Höfuðborgarsvæði";766;2171;1405;-39;1044;1083;805;1127;322
"Konur";"2006";"Suðurnes";96;223;127;-38;68;106;134;155;21
"Konur";"2006";"Vesturland";29;139;110;-20;50;70;49;89;40
"Konur";"2006";"Vestfirðir";48;74;26;5;16;11;43;58;15
"Konur";"2006";"Norðurland vestra";-2;49;51;-14;10;24;12;39;27
"Konur";"2006";"Norðuland eystra";39;184;145;-35;72;107;74;112;38
"Konur";"2006";"Austurland";142;240;98;0;48;48;142;192;50
"Konur";"2006";"Suðurland";68;211;143;-22;49;71;90;162;72
"Konur";"2006";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2007";"Alls";2179;4631;2452;-131;1577;1708;2310;3054;744
"Konur";"2007";"Höfuðborgarsvæði";1484;3098;1614;-70;1147;1217;1554;1951;397
"Konur";"2007";"Suðurnes";157;373;216;-48;102;150;205;271;66
"Konur";"2007";"Vesturland";119;211;92;2;68;66;117;143;26
"Konur";"2007";"Vestfirðir";40;73;33;-14;7;21;54;66;12
"Konur";"2007";"Norðurland vestra";13;71;58;-11;22;33;24;49;25
"Konur";"2007";"Norðuland eystra";132;284;152;14;118;104;118;166;48
"Konur";"2007";"Austurland";47;200;153;-7;33;40;54;167;113
"Konur";"2007";"Suðurland";187;321;134;3;80;77;184;241;57
"Konur";"2007";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2008";"Alls";1421;4329;2908;-229;1398;1627;1650;2931;1281
"Konur";"2008";"Höfuðborgarsvæði";912;2930;2018;-226;984;1210;1138;1946;808
"Konur";"2008";"Suðurnes";170;363;193;22;128;106;148;235;87
"Konur";"2008";"Vesturland";123;225;102;-3;48;51;126;177;51
"Konur";"2008";"Vestfirðir";45;82;37;-10;4;14;55;78;23
"Konur";"2008";"Norðurland vestra";33;76;43;-7;20;27;40;56;16
"Konur";"2008";"Norðuland eystra";53;238;185;-1;106;107;54;132;78
"Konur";"2008";"Austurland";-46;129;175;11;45;34;-57;84;141
"Konur";"2008";"Suðurland";131;286;155;-15;63;78;146;223;77
"Konur";"2008";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2009";"Alls";-1146;2795;3941;-1051;1164;2215;-95;1631;1726
"Konur";"2009";"Höfuðborgarsvæði";-810;1920;2730;-737;842;1579;-73;1078;1151
"Konur";"2009";"Suðurnes";-83;181;264;-91;73;164;8;108;100
"Konur";"2009";"Vesturland";-41;113;154;-49;29;78;8;84;76
"Konur";"2009";"Vestfirðir";-5;72;77;-17;22;39;12;50;38
"Konur";"2009";"Norðurland vestra";13;62;49;-3;17;20;16;45;29
"Konur";"2009";"Norðuland eystra";-61;190;251;-56;88;144;-5;102;107
"Konur";"2009";"Austurland";-70;77;147;-30;32;62;-40;45;85
"Konur";"2009";"Suðurland";-89;180;269;-68;61;129;-21;119;140
"Konur";"2009";"Ótilgreint";-;-;-;-;-;-;-;-;-
"Konur";"2010";"Alls";-706;2660;3366;-859;1209;2068;153;1451;1298
"Konur";"2010";"Höfuðborgarsvæði";-411;1820;2231;-561;862;1423;150;958;808
"Konur";"2010";"Suðurnes";-89;181;270;-87;84;171;-2;97;99
"Konur";"2010";"Vesturland";-23;108;131;-33;48;81;10;60;50
"Konur";"2010";"Vestfirðir";-19;49;68;-22;10;32;3;39;36
"Konur";"2010";"Norðurland vestra";2;46;44;-2;17;19;4;29;25
"Konur";"2010";"Norðuland eystra";-50;179;229;-80;76;156;30;103;73
"Konur";"2010";"Austurland";-46;73;119;-28;28;56;-18;45;63
"Konur";"2010";"Suðurland";-70;204;274;-46;84;130;-24;120;144
"Konur";"2010";"Ótilgreint";-;-;-;-;-;-;-;-;-
